Description; feature count; accuracy; true positive; false negative; false positive; true negative; false negative rate [%]; false positive rate [%]; AUC
DecisionTreeClassifier()+FS.KBEST; 2; 0.8495; 501; 142; 96; 842; 22.08; 10.23; 0.8384
DecisionTreeClassifier()+FS.KBEST; 5; 0.9228; 526; 117; 5; 933; 18.20; 0.53; 0.9064
DecisionTreeClassifier()+FS.KBEST; 10; 0.9620; 592; 51; 9; 929; 7.93; 0.96; 0.9555
DecisionTreeClassifier()+FS.KBEST; 20; 0.9671; 599; 44; 8; 930; 6.84; 0.85; 0.9615
DecisionTreeClassifier()+FS.KBEST; 50; 0.9715; 606; 37; 8; 930; 5.75; 0.85; 0.9670
DecisionTreeClassifier()+FS.KBEST; 100; 0.9734; 610; 33; 9; 929; 5.13; 0.96; 0.9695
DecisionTreeClassifier()+FS.RFE; 2; 0.9001; 581; 62; 96; 842; 9.64; 10.23; 0.9006
DecisionTreeClassifier()+FS.RFE; 5; 0.9488; 566; 77; 4; 934; 11.98; 0.43; 0.9380
DecisionTreeClassifier()+FS.RFE; 10; 0.9703; 601; 42; 5; 933; 6.53; 0.53; 0.9647
DecisionTreeClassifier()+FS.RFE; 20; 0.9798; 616; 27; 5; 933; 4.20; 0.53; 0.9763
DecisionTreeClassifier()+FS.RFE; 50; 0.9798; 621; 22; 10; 928; 3.42; 1.07; 0.9776
DecisionTreeClassifier()+FS.RFE; 100; 0.9753; 621; 22; 17; 921; 3.42; 1.81; 0.9738
DecisionTreeClassifier()+FS.PCA; 2; 0.9513; 603; 40; 37; 901; 6.22; 3.94; 0.9492
DecisionTreeClassifier()+FS.PCA; 5; 0.9570; 611; 32; 36; 902; 4.98; 3.84; 0.9559
DecisionTreeClassifier()+FS.PCA; 10; 0.9570; 605; 38; 30; 908; 5.91; 3.20; 0.9545
DecisionTreeClassifier()+FS.PCA; 20; 0.9602; 613; 30; 33; 905; 4.67; 3.52; 0.9591
DecisionTreeClassifier()+FS.PCA; 50; 0.9589; 613; 30; 35; 903; 4.67; 3.73; 0.9580
DecisionTreeClassifier()+FS.PCA; 100; 0.9652; 619; 24; 31; 907; 3.73; 3.30; 0.9648
RandomForestClassifier()+FS.KBEST; 2; 0.8495; 501; 142; 96; 842; 22.08; 10.23; 0.8384
RandomForestClassifier()+FS.KBEST; 5; 0.9228; 526; 117; 5; 933; 18.20; 0.53; 0.9064
RandomForestClassifier()+FS.KBEST; 10; 0.9627; 594; 49; 10; 928; 7.62; 1.07; 0.9566
RandomForestClassifier()+FS.KBEST; 20; 0.9690; 602; 41; 8; 930; 6.38; 0.85; 0.9639
RandomForestClassifier()+FS.KBEST; 50; 0.9766; 616; 27; 10; 928; 4.20; 1.07; 0.9737
RandomForestClassifier()+FS.KBEST; 100; 0.9798; 618; 25; 7; 931; 3.89; 0.75; 0.9768
RandomForestClassifier()+FS.RFE; 2; 0.9001; 581; 62; 96; 842; 9.64; 10.23; 0.9006
RandomForestClassifier()+FS.RFE; 5; 0.9456; 562; 81; 5; 933; 12.60; 0.53; 0.9343
RandomForestClassifier()+FS.RFE; 10; 0.9652; 597; 46; 9; 929; 7.15; 0.96; 0.9594
RandomForestClassifier()+FS.RFE; 20; 0.9766; 612; 31; 6; 932; 4.82; 0.64; 0.9727
RandomForestClassifier()+FS.RFE; 50; 0.9823; 624; 19; 9; 929; 2.95; 0.96; 0.9804
RandomForestClassifier()+FS.RFE; 100; 0.9848; 626; 17; 7; 931; 2.64; 0.75; 0.9830
RandomForestClassifier()+FS.PCA; 2; 0.9728; 619; 24; 19; 919; 3.73; 2.03; 0.9712
RandomForestClassifier()+FS.PCA; 5; 0.9722; 621; 22; 22; 916; 3.42; 2.35; 0.9712
RandomForestClassifier()+FS.PCA; 10; 0.9722; 621; 22; 22; 916; 3.42; 2.35; 0.9712
RandomForestClassifier()+FS.PCA; 20; 0.9785; 625; 18; 16; 922; 2.80; 1.71; 0.9775
RandomForestClassifier()+FS.PCA; 50; 0.9785; 624; 19; 15; 923; 2.95; 1.60; 0.9772
RandomForestClassifier()+FS.PCA; 100; 0.9791; 625; 18; 15; 923; 2.80; 1.60; 0.9780
MLPClassifier()+FS.KBEST; 2; 0.8495; 501; 142; 96; 842; 22.08; 10.23; 0.8384
MLPClassifier()+FS.KBEST; 5; 0.9235; 527; 116; 5; 933; 18.04; 0.53; 0.9071
MLPClassifier()+FS.KBEST; 10; 0.9633; 595; 48; 10; 928; 7.47; 1.07; 0.9573
MLPClassifier()+FS.KBEST; 20; 0.9696; 605; 38; 10; 928; 5.91; 1.07; 0.9651
MLPClassifier()+FS.KBEST; 50; 0.9804; 620; 23; 8; 930; 3.58; 0.85; 0.9779
MLPClassifier()+FS.KBEST; 100; 0.9804; 622; 21; 10; 928; 3.27; 1.07; 0.9783
MLPClassifier()+FS.PCA; 2; 0.9507; 591; 52; 26; 912; 8.09; 2.77; 0.9457
MLPClassifier()+FS.PCA; 5; 0.9583; 598; 45; 21; 917; 7.00; 2.24; 0.9538
MLPClassifier()+FS.PCA; 10; 0.9722; 617; 26; 18; 920; 4.04; 1.92; 0.9702
MLPClassifier()+FS.PCA; 20; 0.9766; 619; 24; 13; 925; 3.73; 1.39; 0.9744
MLPClassifier()+FS.PCA; 50; 0.9779; 618; 25; 10; 928; 3.89; 1.07; 0.9752
MLPClassifier()+FS.PCA; 100; 0.9842; 628; 15; 10; 928; 2.33; 1.07; 0.9830
SVC()+FS.KBEST; 2; 0.8495; 501; 142; 96; 842; 22.08; 10.23; 0.8384
SVC()+FS.KBEST; 5; 0.9235; 527; 116; 5; 933; 18.04; 0.53; 0.9071
SVC()+FS.KBEST; 10; 0.9633; 595; 48; 10; 928; 7.47; 1.07; 0.9573
SVC()+FS.KBEST; 20; 0.9703; 605; 38; 9; 929; 5.91; 0.96; 0.9657
SVC()+FS.KBEST; 50; 0.9791; 618; 25; 8; 930; 3.89; 0.85; 0.9763
SVC()+FS.KBEST; 100; 0.9804; 622; 21; 10; 928; 3.27; 1.07; 0.9783
SVC()+FS.PCA; 2; 0.9526; 585; 58; 17; 921; 9.02; 1.81; 0.9458
SVC()+FS.PCA; 5; 0.9526; 586; 57; 18; 920; 8.86; 1.92; 0.9461
SVC()+FS.PCA; 10; 0.9564; 588; 55; 14; 924; 8.55; 1.49; 0.9498
SVC()+FS.PCA; 20; 0.9646; 598; 45; 11; 927; 7.00; 1.17; 0.9591
SVC()+FS.PCA; 50; 0.9741; 614; 29; 12; 926; 4.51; 1.28; 0.9711
SVC()+FS.PCA; 100; 0.9753; 614; 29; 10; 928; 4.51; 1.07; 0.9721
LinearRegression()+FS.KBEST; 2; 0.8495; 501; 142; 96; 842; 22.08; 10.23; 0.8384
LinearRegression()+FS.KBEST; 5; 0.9020; 490; 153; 2; 936; 23.79; 0.21; 0.8800
LinearRegression()+FS.KBEST; 10; 0.9336; 542; 101; 4; 934; 15.71; 0.43; 0.9193
LinearRegression()+FS.KBEST; 20; 0.9519; 570; 73; 3; 935; 11.35; 0.32; 0.9416
LinearRegression()+FS.KBEST; 50; 0.9519; 568; 75; 1; 937; 11.66; 0.11; 0.9411
LinearRegression()+FS.KBEST; 100; 0.9557; 576; 67; 3; 935; 10.42; 0.32; 0.9463
LinearRegression()+FS.RFE; 2; 0.5996; 10; 633; 0; 938; 98.44; 0.00; 0.5078
LinearRegression()+FS.RFE; 5; 0.6022; 14; 629; 0; 938; 97.82; 0.00; 0.5109
LinearRegression()+FS.RFE; 10; 0.6040; 17; 626; 0; 938; 97.36; 0.00; 0.5132
LinearRegression()+FS.RFE; 20; 0.6059; 21; 622; 1; 937; 96.73; 0.11; 0.5158
LinearRegression()+FS.RFE; 50; 0.8476; 427; 216; 25; 913; 33.59; 2.67; 0.8187
LinearRegression()+FS.RFE; 100; 0.9538; 574; 69; 4; 934; 10.73; 0.43; 0.9442
LinearRegression()+FS.PCA; 2; 0.9039; 493; 150; 2; 936; 23.33; 0.21; 0.8823
LinearRegression()+FS.PCA; 5; 0.9077; 499; 144; 2; 936; 22.40; 0.21; 0.8870
LinearRegression()+FS.PCA; 10; 0.9108; 505; 138; 3; 935; 21.46; 0.32; 0.8911
LinearRegression()+FS.PCA; 20; 0.9171; 514; 129; 2; 936; 20.06; 0.21; 0.8986
LinearRegression()+FS.PCA; 50; 0.9349; 542; 101; 2; 936; 15.71; 0.21; 0.9204
LinearRegression()+FS.PCA; 100; 0.9481; 563; 80; 2; 936; 12.44; 0.21; 0.9367
KNeighborsClassifier()+FS.KBEST; 2; 0.8495; 501; 142; 96; 842; 22.08; 10.23; 0.8384
KNeighborsClassifier()+FS.KBEST; 5; 0.9235; 527; 116; 5; 933; 18.04; 0.53; 0.9071
KNeighborsClassifier()+FS.KBEST; 10; 0.9627; 594; 49; 10; 928; 7.62; 1.07; 0.9566
KNeighborsClassifier()+FS.KBEST; 20; 0.9595; 588; 55; 9; 929; 8.55; 0.96; 0.9524
KNeighborsClassifier()+FS.KBEST; 50; 0.9690; 599; 44; 5; 933; 6.84; 0.53; 0.9631
KNeighborsClassifier()+FS.KBEST; 100; 0.9570; 579; 64; 4; 934; 9.95; 0.43; 0.9481
KNeighborsClassifier()+FS.PCA; 2; 0.9652; 617; 26; 29; 909; 4.04; 3.09; 0.9643
KNeighborsClassifier()+FS.PCA; 5; 0.9696; 619; 24; 24; 914; 3.73; 2.56; 0.9685
KNeighborsClassifier()+FS.PCA; 10; 0.9728; 615; 28; 15; 923; 4.35; 1.60; 0.9702
KNeighborsClassifier()+FS.PCA; 20; 0.9696; 607; 36; 12; 926; 5.60; 1.28; 0.9656
KNeighborsClassifier()+FS.PCA; 50; 0.9633; 595; 48; 10; 928; 7.47; 1.07; 0.9573
KNeighborsClassifier()+FS.PCA; 100; 0.9595; 587; 56; 8; 930; 8.71; 0.85; 0.9522
BernoulliNB()+FS.KBEST; 2; 0.8495; 501; 142; 96; 842; 22.08; 10.23; 0.8384
BernoulliNB()+FS.KBEST; 5; 0.9235; 527; 116; 5; 933; 18.04; 0.53; 0.9071
BernoulliNB()+FS.KBEST; 10; 0.9538; 578; 65; 8; 930; 10.11; 0.85; 0.9452
BernoulliNB()+FS.KBEST; 20; 0.9671; 607; 36; 16; 922; 5.60; 1.71; 0.9635
BernoulliNB()+FS.KBEST; 50; 0.9728; 609; 34; 9; 929; 5.29; 0.96; 0.9688
BernoulliNB()+FS.KBEST; 100; 0.9779; 616; 27; 8; 930; 4.20; 0.85; 0.9747
BernoulliNB()+FS.PCA; 2; 0.9488; 579; 64; 17; 921; 9.95; 1.81; 0.9412
BernoulliNB()+FS.PCA; 5; 0.9570; 608; 35; 33; 905; 5.44; 3.52; 0.9552
BernoulliNB()+FS.PCA; 10; 0.9608; 614; 29; 33; 905; 4.51; 3.52; 0.9599
BernoulliNB()+FS.PCA; 20; 0.9507; 616; 27; 51; 887; 4.20; 5.44; 0.9518
BernoulliNB()+FS.PCA; 50; 0.9481; 614; 29; 53; 885; 4.51; 5.65; 0.9492
BernoulliNB()+FS.PCA; 100; 0.9241; 620; 23; 97; 841; 3.58; 10.34; 0.9304
