Description; feature count; accuracy; true positive; false negative; false positive; true negative; false negative rate [%]; false positive rate [%]; AUC
DecisionTreeClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2)+FS.KBEST; 2; 0.8495; 501; 142; 96; 842; 22.08; 10.23; 0.8384
DecisionTreeClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2)+FS.KBEST; 5; 0.9228; 526; 117; 5; 933; 18.20; 0.53; 0.9064
DecisionTreeClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2)+FS.KBEST; 10; 0.9620; 592; 51; 9; 929; 7.93; 0.96; 0.9555
DecisionTreeClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2)+FS.KBEST; 20; 0.9652; 595; 48; 7; 931; 7.47; 0.75; 0.9589
DecisionTreeClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2)+FS.KBEST; 50; 0.9709; 607; 36; 10; 928; 5.60; 1.07; 0.9667
DecisionTreeClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2)+FS.KBEST; 100; 0.9715; 606; 37; 8; 930; 5.75; 0.85; 0.9670
DecisionTreeClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2)+FS.RFE; 2; 0.9001; 581; 62; 96; 842; 9.64; 10.23; 0.9006
DecisionTreeClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2)+FS.RFE; 5; 0.9488; 566; 77; 4; 934; 11.98; 0.43; 0.9380
DecisionTreeClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2)+FS.RFE; 10; 0.9703; 601; 42; 5; 933; 6.53; 0.53; 0.9647
DecisionTreeClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2)+FS.RFE; 20; 0.9772; 613; 30; 6; 932; 4.67; 0.64; 0.9735
DecisionTreeClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2)+FS.RFE; 50; 0.9728; 606; 37; 6; 932; 5.75; 0.64; 0.9680
DecisionTreeClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2)+FS.RFE; 100; 0.9728; 606; 37; 6; 932; 5.75; 0.64; 0.9680
DecisionTreeClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2)+FS.PCA; 2; 0.9703; 618; 25; 22; 916; 3.89; 2.35; 0.9688
DecisionTreeClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2)+FS.PCA; 5; 0.9614; 608; 35; 26; 912; 5.44; 2.77; 0.9589
DecisionTreeClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2)+FS.PCA; 10; 0.9671; 609; 34; 18; 920; 5.29; 1.92; 0.9640
DecisionTreeClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2)+FS.PCA; 20; 0.9646; 611; 32; 24; 914; 4.98; 2.56; 0.9623
DecisionTreeClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2)+FS.PCA; 50; 0.9722; 612; 31; 13; 925; 4.82; 1.39; 0.9690
DecisionTreeClassifier(criterion='entropy', max_depth=15, min_samples_leaf=2)+FS.PCA; 100; 0.9779; 623; 20; 15; 923; 3.11; 1.60; 0.9765
DecisionTreeClassifier(criterion='entropy', max_depth=20, min_samples_leaf=2)+FS.KBEST; 2; 0.8495; 501; 142; 96; 842; 22.08; 10.23; 0.8384
DecisionTreeClassifier(criterion='entropy', max_depth=20, min_samples_leaf=2)+FS.KBEST; 5; 0.9228; 526; 117; 5; 933; 18.20; 0.53; 0.9064
DecisionTreeClassifier(criterion='entropy', max_depth=20, min_samples_leaf=2)+FS.KBEST; 10; 0.9620; 592; 51; 9; 929; 7.93; 0.96; 0.9555
DecisionTreeClassifier(criterion='entropy', max_depth=20, min_samples_leaf=2)+FS.KBEST; 20; 0.9652; 595; 48; 7; 931; 7.47; 0.75; 0.9589
DecisionTreeClassifier(criterion='entropy', max_depth=20, min_samples_leaf=2)+FS.KBEST; 50; 0.9703; 606; 37; 10; 928; 5.75; 1.07; 0.9659
DecisionTreeClassifier(criterion='entropy', max_depth=20, min_samples_leaf=2)+FS.KBEST; 100; 0.9715; 606; 37; 8; 930; 5.75; 0.85; 0.9670
DecisionTreeClassifier(criterion='entropy', max_depth=20, min_samples_leaf=2)+FS.RFE; 2; 0.9001; 581; 62; 96; 842; 9.64; 10.23; 0.9006
DecisionTreeClassifier(criterion='entropy', max_depth=20, min_samples_leaf=2)+FS.RFE; 5; 0.9488; 566; 77; 4; 934; 11.98; 0.43; 0.9380
DecisionTreeClassifier(criterion='entropy', max_depth=20, min_samples_leaf=2)+FS.RFE; 10; 0.9703; 601; 42; 5; 933; 6.53; 0.53; 0.9647
DecisionTreeClassifier(criterion='entropy', max_depth=20, min_samples_leaf=2)+FS.RFE; 20; 0.9785; 613; 30; 4; 934; 4.67; 0.43; 0.9745
DecisionTreeClassifier(criterion='entropy', max_depth=20, min_samples_leaf=2)+FS.RFE; 50; 0.9785; 615; 28; 6; 932; 4.35; 0.64; 0.9750
