Description; feature count; accuracy; true positive; false negative; false positive; true negative; false negative rate [%]; false positive rate [%]; AUC
DecisionTreeClassifier(); 462; 0.9778621125869703; 925; 13; 22; 621; 1.39; 3.42; 0.9759630529865668
DecisionTreeClassifier(); 462; 0.9772296015180265; 922; 16; 20; 623; 1.71; 3.11; 0.9759191158183753
DecisionTreeClassifier(criterion='entropy'); 462; 0.9759645793801391; 923; 15; 23; 620; 1.60; 3.58; 0.9741193499288715
DecisionTreeClassifier(criterion='log_loss'); 462; 0.9753320683111955; 922; 16; 23; 620; 1.71; 3.58; 0.9735863008883598
DecisionTreeClassifier(); 462; 0.9772296015180265; 925; 13; 23; 620; 1.39; 3.58; 0.975185448009895
DecisionTreeClassifier(splitter='random'); 462; 0.9759645793801391; 924; 14; 24; 619; 1.49; 3.73; 0.9738747939927114
DecisionTreeClassifier(); 462; 0.9753320683111955; 921; 17; 22; 621; 1.81; 3.42; 0.97383085682452
DecisionTreeClassifier(max_depth=2); 462; 0.9000632511068943; 842; 96; 62; 581; 10.23; 9.64; 0.9006157835572194
DecisionTreeClassifier(max_depth=5); 462; 0.9550917141049968; 935; 3; 68; 575; 0.32; 10.58; 0.9455237144647789
DecisionTreeClassifier(max_depth=10); 462; 0.9772296015180265; 935; 3; 33; 610; 0.32; 5.13; 0.9727398886482937
DecisionTreeClassifier(max_depth=15); 462; 0.9778621125869703; 929; 9; 26; 617; 0.96; 4.04; 0.9749848292419263
DecisionTreeClassifier(); 462; 0.978494623655914; 927; 11; 23; 620; 1.17; 3.58; 0.9762515460909185
DecisionTreeClassifier(min_samples_split=4); 462; 0.9797596457938014; 929; 9; 23; 620; 0.96; 3.58; 0.977317644171942
DecisionTreeClassifier(min_samples_split=6); 462; 0.9829222011385199; 930; 8; 19; 624; 0.85; 2.95; 0.980961113119141
DecisionTreeClassifier(); 462; 0.9778621125869703; 925; 13; 22; 621; 1.39; 3.42; 0.9759630529865668
DecisionTreeClassifier(min_samples_leaf=2); 462; 0.9734345351043643; 930; 8; 34; 609; 0.85; 5.29; 0.9692970384690632
DecisionTreeClassifier(min_samples_leaf=4); 462; 0.9728020240354206; 927; 11; 32; 611; 1.17; 4.98; 0.9692531013008718
DecisionTreeClassifier(min_samples_leaf=6); 462; 0.9734345351043643; 925; 13; 29; 614; 1.39; 4.51; 0.9705198181498639
DecisionTreeClassifier(max_features='sqrt'); 462; 0.9620493358633776; 916; 22; 38; 605; 2.35; 5.91; 0.9587239319952117
DecisionTreeClassifier(max_features='log2'); 462; 0.9671094244149273; 916; 22; 30; 613; 2.35; 4.67; 0.9649447718085864
DecisionTreeClassifier(); 462; 0.9778621125869703; 925; 13; 22; 621; 1.39; 3.42; 0.9759630529865668
DecisionTreeClassifier(max_features=1); 462; 0.9683744465528147; 930; 8; 42; 601; 0.85; 6.53; 0.9630761986556885
DecisionTreeClassifier(max_features=5); 462; 0.9595192915876027; 917; 21; 43; 600; 2.24; 6.69; 0.9553689561523642
DecisionTreeClassifier(max_features=25); 462; 0.9759645793801391; 929; 9; 29; 614; 0.96; 4.51; 0.9726520143119107
DecisionTreeClassifier(max_features=100); 462; 0.9734345351043643; 918; 20; 22; 621; 2.13; 3.42; 0.9722317097029847
DecisionTreeClassifier(); 462; 0.9778621125869703; 925; 13; 22; 621; 1.39; 3.42; 0.9759630529865668
DecisionTreeClassifier(class_weight='balanced'); 462; 0.9671094244149273; 924; 14; 38; 605; 1.49; 5.91; 0.9629883243193055
DecisionTreeClassifier(class_weight={0: 1, 1: 2}); 462; 0.9645793801391525; 921; 17; 39; 604; 1.81; 6.07; 0.9606115722210985
DecisionTreeClassifier(class_weight={0: 2, 1: 1}); 462; 0.9759645793801391; 922; 16; 22; 621; 1.71; 3.42; 0.9743639058650316
DecisionTreeClassifier(class_weight={0: 1, 1: 5}); 462; 0.9582542694497154; 910; 28; 38; 605; 2.99; 5.91; 0.9555256377521414
DecisionTreeClassifier(class_weight={0: 5, 1: 1}); 462; 0.9746995572422518; 927; 11; 29; 614; 1.17; 4.51; 0.9715859162308873
RandomForestClassifier(); 462; 0.9841872232764073; 933; 5; 20; 623; 0.53; 3.11; 0.9817826552640043
MLPClassifier(); 462; 0.9810246679316889; 926; 12; 18; 625; 1.28; 2.80; 0.979606521933766
SVC(); 462; 0.9835547122074636; 935; 3; 23; 620; 0.32; 3.58; 0.9805159384150123
LinearRegression(); 462; 0.958886780518659; 932; 6; 59; 584; 0.64; 9.18; 0.9509230121332904
KNeighborsClassifier(); 462; 0.9335863377609108; 936; 2; 103; 540; 0.21; 16.02; 0.9188405893217759
BernoulliNB(); 462; 0.9791271347248577; 932; 6; 27; 616; 0.64; 4.20; 0.9758063713867897
